testsequence_id; testcase_id; result; output_reference; output_carry_reference; output_monitor; output_carry_monitor; timeout; start_time; end_time
1; 0; 0; 44; 0; 44; 0; 10 ns; 0 s; 2 ns
1; 1; 0; 103; 0; 103; 0; 10 ns; 2 ns; 4 ns
1; 2; 0; 181; 0; 181; 0; 10 ns; 4 ns; 6 ns
2; 0; 0; 3232797036; 0; 3232797036; 0; 10 ns; 6 ns; 8 ns
2; 1; 1; 2074318404; 1; 2074318404; 0; 10 ns; 8 ns; 10 ns
2; 2; 0; 2323125354; 0; 2323125354; 0; 10 ns; 10 ns; 12 ns
2; 3; 1; 635162017; 1; 635162017; 0; 10 ns; 12 ns; 14 ns
2; 4; 1; 1171968091; 1; 1171968091; 0; 10 ns; 14 ns; 16 ns
3; 0; 0; 4249411263; 0; 4249411263; 0; 10 ns; 16 ns; 18 ns
3; 1; 0; 4249405279; 0; 4249405279; 0; 10 ns; 18 ns; 20 ns
3; 2; 0; 4249420338; 0; 4249420338; 0; 10 ns; 20 ns; 22 ns
3; 3; 0; 4249426382; 0; 4249426382; 0; 10 ns; 22 ns; 24 ns
3; 4; 0; 4249397855; 0; 4249397855; 0; 10 ns; 24 ns; 26 ns
4; 0; 0; 570; 0; 570; 0; 10 ns; 26 ns; 28 ns
4; 1; 0; 547; 0; 547; 0; 10 ns; 28 ns; 30 ns
4; 2; 0; 562; 0; 562; 0; 10 ns; 30 ns; 32 ns
4; 3; 0; 568; 0; 568; 0; 10 ns; 32 ns; 34 ns
4; 4; 0; 966; 0; 966; 0; 10 ns; 34 ns; 36 ns
5; 0; 0; 89000; 0; 89000; 0; 10 ns; 36 ns; 38 ns
5; 1; 0; 147000; 0; 147000; 0; 10 ns; 38 ns; 40 ns
5; 2; 0; 56000; 0; 56000; 0; 10 ns; 40 ns; 42 ns
5; 3; 0; 62000; 0; 62000; 0; 10 ns; 42 ns; 44 ns
5; 4; 0; 99000; 0; 99000; 0; 10 ns; 44 ns; 46 ns
6; 0; 0; 1100000; 0; 1100000; 0; 10 ns; 46 ns; 48 ns
6; 1; 0; 2000000; 0; 2000000; 0; 10 ns; 48 ns; 50 ns
